측정소명,미세먼지,초미세먼지,오존,이산화질소 NO2 (ppm),일산화탄소 CO (ppm),아황산가스 SO2(ppm),연도,월,일,계절,pm10grade,이산화질소 NO2  (μg/m³),일산화탄소 CO  (μg/m³),아황산가스 SO2 (μg/m³),오존 (μg/m³),종합오염지수,위험도등급
-1.665457207649886,-0.8382563102057429,-0.6659530212489767,0.013204249114520745,-1.0980980707147512,-0.569903979466088,-0.7133140160609728,0.0,1.5663852454657232,1.7248359924267125,-0.4485079543070145,-1.0042764643807054,-1.0980980707147516,-0.5699039794660886,-0.7133140160609719,0.01320424911452123,-0.7693632962451766,0.5264136235605791
-1.5270518387618266,-0.5713609364917283,-0.2653656188028457,-0.44596329066743434,-0.5998232985563771,-0.569903979466088,-0.7133140160609728,0.0,1.5663852454657232,1.7248359924267125,-0.4485079543070145,-1.0042764643807054,-0.5998232985563775,-0.5699039794660886,-0.7133140160609719,-0.44596329066743384,-0.6877752178649938,0.5264136235605791
-1.3886464698737673,-0.35784463752051665,-0.4256005797812981,-0.21637952077645695,-0.4337317078369192,-0.569903979466088,-1.503736942025153,0.0,1.5663852454657232,1.7248359924267125,-0.4485079543070145,0.8149920462350617,-0.4337317078369196,-0.5699039794660886,-1.5037369420251518,-0.2163795207764563,-0.6384269746332241,0.5264136235605791
-1.250241100985708,-0.4646027870061225,-0.5057180602705242,-0.21637952077645695,-0.8489606846355641,-0.569903979466088,0.07710890990320741,0.0,1.5663852454657232,1.7248359924267125,-0.4485079543070145,-1.0042764643807054,-0.8489606846355644,-0.5699039794660886,0.07710890990320822,-0.2163795207764563,-0.6912319328001755,0.5264136235605791
-1.1118357320976486,-0.09094926380650215,-0.34548309929207194,0.08973217241151304,-1.1811438660744802,-0.569903979466088,-0.7133140160609728,0.0,1.5663852454657232,1.7248359924267125,-0.4485079543070145,0.8149920462350617,-1.1811438660744806,-0.5699039794660886,-0.7133140160609719,0.08973217241151356,-0.5964512672603457,0.5264136235605791
-0.9734303632095894,-0.8382563102057429,-0.9864229432058814,-0.44596329066743434,-0.9320064799952932,-0.569903979466088,-1.503736942025153,0.0,1.5663852454657232,1.7248359924267125,-0.4485079543070145,-1.0042764643807054,-0.9320064799952935,-0.5699039794660886,-1.5037369420251518,-0.44596329066743384,-0.8702698483058116,0.5264136235605791
-0.8350249943215301,-0.6781190859773341,-0.5057180602705242,-0.21637952077645695,-0.5998232985563771,-1.0766305401343432,0.07710890990320741,0.0,1.5663852454657232,1.7248359924267125,-0.4485079543070145,-1.0042764643807054,-0.5998232985563775,-1.076630540134344,0.07710890990320822,-0.2163795207764563,-1.1019509754070556,0.5264136235605791
-0.6966196254334708,-0.78487723546294,-0.34548309929207194,-0.44596329066743434,-0.6828690939161062,-0.569903979466088,-0.7133140160609728,0.0,1.5663852454657232,1.7248359924267125,-0.4485079543070145,-1.0042764643807054,-0.6828690939161067,-0.5699039794660886,-0.7133140160609719,-0.44596329066743384,-0.7409022565408214,0.5264136235605791
-0.5582142565454115,-0.8382563102057429,-0.4256005797812981,-0.2929074440734492,-1.0980980707147512,-0.569903979466088,0.07710890990320741,0.0,1.5663852454657232,1.7248359924267125,-0.4485079543070145,-1.0042764643807054,-1.0980980707147516,-0.5699039794660886,0.07710890990320822,-0.29290744407344865,-0.7692559360755513,0.5264136235605791
-0.4198088876573522,-0.9983935344341516,-0.8261879822274291,0.1662600957085056,-1.3472354567939384,-1.0766305401343432,-1.503736942025153,0.0,1.5663852454657232,1.7248359924267125,-0.4485079543070145,-1.0042764643807054,-1.3472354567939389,-1.076630540134344,-1.5037369420251518,0.16626009570850617,-1.2188054568754239,0.5264136235605791
-0.2814035187692929,-0.6781190859773341,-0.8261879822274291,-0.3694353673704418,-0.9320064799952932,-0.569903979466088,-0.7133140160609728,0.0,1.5663852454657232,1.7248359924267125,-0.4485079543070145,-1.0042764643807054,-0.9320064799952935,-0.5699039794660886,-0.7133140160609719,-0.36943536737044125,-0.8054921122748943,0.5264136235605791
-0.14299814988123363,-0.4112237122633196,-0.2653656188028457,-0.3694353673704418,-1.1811438660744802,-1.0766305401343432,-0.7133140160609728,0.0,1.5663852454657232,1.7248359924267125,-0.4485079543070145,-1.0042764643807054,-1.1811438660744806,-1.076630540134344,-0.7133140160609719,-0.36943536737044125,-1.0928755094891687,0.5264136235605791
-0.004592780993174336,-0.7314981607201371,-0.5858355407597504,-0.2929074440734492,-1.1811438660744802,-0.569903979466088,-1.503736942025153,0.0,1.5663852454657232,1.7248359924267125,-0.4485079543070145,-1.0042764643807054,-1.1811438660744806,-0.5699039794660886,-1.5037369420251518,-0.29290744407344865,-0.7917139884006458,0.5264136235605791
0.13381258789488495,-0.78487723546294,-1.0665404236951075,-0.21637952077645695,-1.0150522753550222,-0.0631774187978328,-1.503736942025153,0.0,1.5663852454657232,1.7248359924267125,-0.4485079543070145,-1.0042764643807054,-1.0150522753550226,-0.06317741879783338,-1.5037369420251518,-0.2163795207764563,-0.45403164539989077,0.5264136235605791
0.27221795678294425,-0.5713609364917283,-0.7460705017382029,0.1662600957085056,-0.5167775031966481,-1.5833571008025984,-0.7133140160609728,0.0,1.5663852454657232,1.7248359924267125,-0.4485079543070145,-1.0042764643807054,-0.5167775031966482,-1.583357100802599,-0.7133140160609719,0.16626009570850617,-1.463797126059521,1.5779081779638622
